myrtle.n.01,1090
myrtle.n.02,47
topographic_point.n.01,163845
nation.n.02,1262
eatage.n.01,57
space.n.07,76
weed.n.01,4968
weed.n.02,31
forest.n.01,41290
forest.n.02,4342
larkspur.n.01,12
sugar.n.01,10894
chocolate.n.03,45
seat.n.01,3405
daisy.n.01,6926
dogwood.n.01,199
dogwood.n.02,1
country.n.02,21151
country.n.04,11953
ash.n.01,9288
ash.n.02,1381
ash.n.03,8
increase.n.03,411
rose.n.01,11400
rose.n.03,660
supergrass.n.01,3
carbohydrate.n.01,312
crush.n.02,227
attic.n.03,76
blackberry.n.01,1669
blackberry.n.02,8
grape.n.01,3025
grape.n.02,33
farming.n.01,295
orange.n.01,2945
orange.n.02,5452
orange.n.03,217
orange.n.04,22
strawberry.n.01,3759
strawberry.n.03,1
wallflower.n.01,53
wallflower.n.03,164
melon.n.01,918
melon.n.02,6
landscape.n.01,7664
landscape.n.02,521
landscape.n.03,128
landscape.n.04,229
bean.n.01,3341
bean.n.02,2434
bean.n.03,418
department_of_agriculture.n.01,1
lawn.n.01,11972
elm.n.01,831
elm.n.02,35
sphere.n.01,629
farm.n.01,17361
outgrowth.n.01,79
tree.n.01,120528
tree.n.02,914
tree.n.03,8
poppy.n.01,311
scent.n.02,15090
torso.n.01,386
ambrosia.n.04,3
peony.n.01,166
oleander.n.01,142
coffee_bean.n.01,28
sage.n.01,2629
sage.n.02,673
sage.n.03,893
moss.n.01,2936
citron.n.01,62
nectar.n.01,712
nectar.n.02,2
area.n.01,41075
area.n.02,2994
area.n.03,4077
area.n.05,23514
area.n.06,3643
banana.n.01,226
banana.n.02,2608
radish.n.01,117
trunk.n.01,7897
trunk.n.02,4793
pea.n.01,2832
pea.n.02,23
pea.n.03,92
palm.n.01,47303
palm.n.02,26
palm.n.03,3802
eggplant.n.01,158
eggplant.n.02,19
beech.n.01,226
jelly.n.02,160
jelly.n.03,78
beginning.n.04,2244
place.n.02,46083
place.n.03,14553
place.n.04,16059
place.n.06,3227
place.n.10,1472
place.n.12,781
place.n.13,1169
place.n.15,9029
hayfield.n.01,5165
timbre.n.01,70
corn_whiskey.n.01,1
etymon.n.01,1
perfume.n.02,2094
luggage_compartment.n.01,4380
blush_wine.n.01,11
shrub.n.01,2028
greens.n.01,469
daffodil.n.01,473
seeded_player.n.01,43
tobacco.n.01,3042
tobacco.n.02,59
care.n.01,64
lineage.n.01,198
entity.n.01,3442
lumber.n.01,914
freak.n.01,688
fix.n.01,598
foliation.n.03,11
putrefaction.n.01,432
gamboge.n.02,282
source.n.03,961
radish_plant.n.01,1
spice.n.01,1691
spice.n.02,889
position.n.01,11127
position.n.06,802
pine.n.01,5523
pine.n.02,1107
chrysanthemum.n.01,129
chrysanthemum.n.02,7
thing.n.01,55558
thing.n.02,66373
thing.n.03,18050
thing.n.04,32710
thing.n.05,34690
thing.n.07,32378
thing.n.08,37871
thing.n.09,30267
thing.n.10,2768
thing.n.11,1884
thing.n.12,11
petal.n.01,3391
turf.n.01,911
turf.n.02,563
turf.n.03,213
bundle.n.02,934
honeysuckle.n.01,681
wood.n.01,33953
wood.n.03,10
wood.n.04,7
wood.n.05,21
wood.n.06,3
wood.n.08,131
hyacinth.n.01,16
hyacinth.n.02,115
skyrocket.n.02,41
fruit.n.01,12426
fruit.n.03,385
boodle.n.01,51
figure.n.01,6
aroma.n.02,27648
branch.n.01,2674
branch.n.02,21863
branch.n.03,371
branch.n.05,106
coffee.n.01,76382
coffee.n.02,969
lilac.n.01,351
verbena.n.01,208
alga.n.01,391
apple.n.01,12158
apple.n.02,228
pod.n.02,17
solution.n.04,29
decomposition.n.04,467
vitamin.n.01,1192
monstrosity.n.02,648
berry.n.01,2800
berry.n.02,339
garden.n.01,23044
garden.n.02,797
garden.n.03,5285
arm.n.02,64
agribusiness.n.01,143
rocket.n.01,3418
rocket.n.02,59
rocket.n.03,1
rocket.n.04,42
grass.n.01,32330
grass.n.02,1
ancestry.n.02,453
salad.n.01,5088
seed.n.01,2290
seed.n.02,3471
emergence.n.01,9
plaza.n.01,5
sweet.n.03,1344
sweet.n.04,33
bud.n.01,2426
bud.n.02,2187
dessert.n.01,89
organism.n.01,1262
organism.n.02,24
matter.n.01,26278
maple.n.01,1755
maple.n.02,268
corn.n.01,2844
corn.n.02,308
corn.n.03,1020
corn.n.07,4
planting.n.01,237
planting.n.02,29
planting.n.03,556
park.n.02,590
cabbage.n.01,1062
cabbage.n.03,6
proboscis.n.02,358
yield.n.03,276
semen.n.01,1253
flower.n.01,23023
flower.n.02,13226
flower.n.03,339
lemon.n.01,2544
lemon.n.03,182
lemon.n.04,515
lemon.n.05,7
jam.n.01,1736
jamming.n.01,202
plant.n.01,3756
plant.n.02,13367
plant.n.03,1
plant.n.04,171
tomato.n.01,3390
tomato.n.02,13
greenhouse.n.01,1235
pieplant.n.01,103
pasture.n.01,2519
plowing.n.01,61
coconut.n.01,961
coconut.n.02,230
coconut.n.03,165
decoration.n.02,2
leaf.n.01,6620
leaf.n.02,390
leaf.n.03,30
pot.n.09,1299
avocado.n.01,433
avocado.n.02,1
olfactory_property.n.01,1426
blight.n.01,525
blight.n.02,76
ancestor.n.01,265
herb.n.01,1431
herb.n.02,3751
willow.n.01,5421
willow.n.02,1
fig.n.02,458
fig.n.04,294
grapeshot.n.01,4
violet.n.01,917
violet.n.02,8303
woodwind.n.01,3
state.n.04,8389
timber.n.02,1086
timber.n.03,516
capsicum.n.01,267
hay.n.01,3974
bunk.n.04,6
green.n.01,6193
green.n.03,7
green.n.04,17
green.n.06,723
tulip.n.01,811
shrubbery.n.01,288
shrubbery.n.02,580
growth.n.01,1506
growth.n.02,819
growth.n.04,1059
growth.n.06,77
growth.n.07,520
stead.n.01,13719
vegetable.n.01,6058
vegetable.n.02,10
home.n.01,23577
pear.n.01,684
pear.n.02,22
pepper.n.01,84
pepper.n.03,2782
pepper.n.04,550
root.n.01,9010
root.n.03,144
root.n.04,64
root.n.08,541
gelatin.n.02,306
spiciness.n.01,761
