agribusiness.n.01|noun.act|a large-scale farming enterprise|
alga.n.01|noun.animal|primitive chlorophyll-containing mainly aquatic eukaryotic organisms lacking true stems and roots and leaves|
ambrosia.n.04|noun.food|(classical mythology) the food and drink of the gods; mortals who ate it became immortal|
ancestor.n.01|noun.person|someone from whom you are descended (but usually more remote than a grandparent)|
ancestry.n.02|noun.attribute|inherited properties shared with others of your bloodline|
apple.n.01|noun.food|fruit with red or yellow or green skin and sweet to tart crisp whitish flesh|
apple.n.02|noun.plant|native Eurasian tree widely cultivated in many varieties for its firm rounded edible fruits|
area.n.01|noun.location|a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography)|it was a mountainous area
area.n.02|noun.cognition|a subject of study|it was his area of specialization
area.n.03|noun.body|a part of an animal that has a special function or is supplied by a given artery or nerve|in the abdominal region
area.n.05|noun.artifact|a part of a structure having some specific characteristic or function|the spacious cooking area provided plenty of room for servants
area.n.06|noun.attribute|the extent of a 2-dimensional surface enclosed within a boundary|the area of a rectangle
arm.n.02|noun.artifact|any projection that is thought to resemble a human arm|the arm of the record player
aroma.n.02|noun.cognition|a distinctive odor that is pleasant|
ash.n.01|noun.substance|the residue that remains when something is burned|
ash.n.02|noun.plant|any of various deciduous pinnate-leaved ornamental or timber trees of the genus Fraxinus|
ash.n.03|noun.plant|strong elastic wood of any of various ash trees; used for furniture and tool handles and sporting goods such as baseball bats|
attic.n.03|noun.body|informal terms for a human head|
avocado.n.01|noun.food|a pear-shaped tropical fruit with green or blackish skin and rich yellowish pulp enclosing a single large seed|
avocado.n.02|noun.plant|tropical American tree bearing large pulpy green fruits|
banana.n.01|noun.plant|any of several tropical and subtropical treelike herbs of the genus Musa having a terminal crown of large entire leaves and usually bearing hanging clusters of elongated fruits|
banana.n.02|noun.food|elongated crescent-shaped yellow fruit with soft sweet flesh|
bean.n.01|noun.food|any of various edible seeds of plants of the family Leguminosae used for food|
bean.n.02|noun.plant|any of various seeds or fruits that are beans or resemble beans|
bean.n.03|noun.plant|any of various leguminous plants grown for their edible seeds and pods|
beech.n.01|noun.plant|any of several large deciduous trees with rounded spreading crowns and smooth grey bark and small sweet edible triangular nuts enclosed in burs; north temperate regions|
beginning.n.04|noun.location|the place where something begins, where it springs into being|the Italian beginning of the Renaissance
berry.n.01|noun.food|any of numerous small and pulpy edible fruits; used as desserts or in making jams and jellies and preserves|
berry.n.02|noun.plant|a small fruit having any of various structures, e.g., simple (grape or blueberry) or aggregate (blackberry or raspberry)|
blackberry.n.01|noun.food|large sweet black or very dark purple edible aggregate fruit of any of various bushes of the genus Rubus|
blackberry.n.02|noun.plant|bramble with sweet edible black or dark purple berries that usually do not separate from the receptacle|
blight.n.01|noun.state|a state or condition being blighted|
blight.n.02|noun.state|any plant disease resulting in withering without rotting|
blush_wine.n.01|noun.food|pinkish table wine from red grapes whose skins were removed after fermentation began|
boodle.n.01|noun.possession|informal terms for money|
branch.n.01|noun.group|a division of some larger or more complex organization|a branch of Congress
branch.n.02|noun.plant|a division of a stem, or secondary stem arising from the main stem of a plant|
branch.n.03|noun.shape|a part of a forked or branching shape|he broke off one of the branches
branch.n.05|noun.object|a stream or river connected to a larger one|
bud.n.01|noun.plant|a partially opened flower|
bud.n.02|noun.plant|a swelling on a plant stem consisting of overlapping immature leaves or petals|
bundle.n.02|noun.artifact|a package of several things tied together for carrying or storing|
bunk.n.04|noun.communication|unacceptable behavior (especially ludicrously false statements)|
cabbage.n.01|noun.food|any of various types of cabbage|
cabbage.n.03|noun.plant|any of various cultivars of the genus Brassica oleracea grown for their edible leaves or flowers|
capsicum.n.01|noun.plant|any of various tropical plants of the genus Capsicum bearing peppers|
carbohydrate.n.01|noun.substance|an essential structural component of living cells and source of energy for animals; includes simple sugars with small molecules as well as macromolecular substances; are classified according to the number of monosaccharide groups they contain|
care.n.01|noun.act|the work of providing treatment for or attending to someone or something|no medical care was required
chocolate.n.03|noun.attribute|a medium brown to dark-brown color|
chrysanthemum.n.01|noun.plant|the flower of a chrysanthemum plant|
chrysanthemum.n.02|noun.plant|any of numerous perennial Old World herbs having showy brightly colored flower heads of the genera Chrysanthemum, Argyranthemum, Dendranthema, Tanacetum; widely cultivated|
citron.n.01|noun.food|large lemonlike fruit with thick aromatic rind; usually preserved|
coconut.n.01|noun.food|the edible white meat of a coconut; often shredded for use in e.g. cakes and curries|
coconut.n.02|noun.food|large hard-shelled oval nut with a fibrous husk containing thick white meat surrounding a central cavity filled (when fresh) with fluid or milk|
coconut.n.03|noun.plant|tall palm tree bearing coconuts as fruits; widely planted throughout the tropics|
coffee.n.01|noun.food|a beverage consisting of an infusion of ground coffee beans|he ordered a cup of coffee
coffee.n.02|noun.plant|any of several small trees and shrubs native to the tropical Old World yielding coffee beans|
coffee_bean.n.01|noun.food|a seed of the coffee tree; ground to make coffee|
corn.n.01|noun.plant|tall annual cereal grass bearing kernels on large ears: widely cultivated in America in many varieties; the principal cereal in Mexico and Central and South America since pre-Columbian times|
corn.n.02|noun.plant|the dried grains or kernels or corn used as animal feed or ground for meal|
corn.n.03|noun.food|ears of corn that can be prepared and served for human food|
corn.n.07|noun.attribute|something sentimental or trite|that movie was pure corn
corn_whiskey.n.01|noun.food|whiskey distilled from a mash of not less than 80 percent corn|
country.n.02|noun.location|the territory occupied by a nation|he returned to the land of his birth
country.n.04|noun.location|an area outside of cities and towns|his poetry celebrated the slower pace of life in the country
crush.n.02|noun.group|a dense crowd of people|
daffodil.n.01|noun.plant|any of numerous varieties of Narcissus plants having showy often yellow flowers with a trumpet-shaped central crown|
daisy.n.01|noun.plant|any of numerous composite plants having flower heads with well-developed ray flowers usually arranged in a single whorl|
decomposition.n.04|noun.process|(biology) the process of decay caused by bacterial or fungal action|
decoration.n.02|noun.communication|an award for winning a championship or commemorating some other event|
department_of_agriculture.n.01|noun.group|the federal department that administers programs that provide services to farmers (including research and soil conservation and efforts to stabilize the farming economy); created in 1862|
dessert.n.01|noun.food|a dish served as the last course of a meal|
dogwood.n.01|noun.plant|a tree of shrub of the genus Cornus often having showy bracts resembling flowers|
dogwood.n.02|noun.plant|hard tough wood of any dogwood of the genus Cornus; resembles boxwood|
eatage.n.01|noun.food|bulky food like grass or hay for browsing or grazing horses or cattle|
eggplant.n.01|noun.food|egg-shaped vegetable having a shiny skin typically dark purple but occasionally white or yellow|
eggplant.n.02|noun.plant|hairy upright herb native to southeastern Asia but widely cultivated for its large glossy edible fruit commonly used as a vegetable|
elm.n.01|noun.plant|any of various trees of the genus Ulmus: important timber or shade trees|
elm.n.02|noun.plant|hard tough wood of an elm tree; used for e.g. implements and furniture|
emergence.n.01|noun.event|the gradual beginning or coming forth|figurines presage the emergence of sculpture in Greece
entity.n.01|noun.Tops|that which is perceived or known or inferred to have its own distinct existence (living or nonliving)|
etymon.n.01|noun.communication|a simple form inferred as the common basis from which related words in several languages can be derived by linguistic processes|
farm.n.01|noun.artifact|workplace consisting of farm buildings and cultivated land as a unit|it takes several people to work the farm
farming.n.01|noun.act|the practice of cultivating the land or raising stock|
fig.n.02|noun.plant|Mediterranean tree widely cultivated for its edible fruit|
fig.n.04|noun.food|fleshy sweet pear-shaped yellowish or purple multiple fruit eaten fresh or preserved or dried|
figure.n.01|noun.communication|a diagram or picture illustrating textual material|the area covered can be seen from Figure 2
fix.n.01|noun.state|informal terms for a difficult situation|he got into a terrible fix
flower.n.01|noun.plant|a plant cultivated for its blooms or blossoms|
flower.n.02|noun.plant|reproductive organ of angiosperm plants especially one having showy or colorful parts|
flower.n.03|noun.time|the period of greatest prosperity or productivity|
foliation.n.03|noun.artifact|(architecture) leaf-like architectural ornament|
forest.n.01|noun.group|the trees and other plants in a large densely wooded area|
forest.n.02|noun.object|land that is covered with trees and shrubs|
freak.n.01|noun.person|a person or animal that is markedly unusual or deformed|
fruit.n.01|noun.plant|the ripened reproductive body of a seed plant|
fruit.n.03|noun.event|the consequence of some effort or action|he lived long enough to see the fruit of his policies
gamboge.n.02|noun.attribute|a strong yellow color|
garden.n.01|noun.artifact|a plot of ground where plants are cultivated|
garden.n.02|noun.group|the flowers or vegetables or fruits or herbs that are cultivated in a garden|
garden.n.03|noun.artifact|a yard or lawn adjoining a house|
gelatin.n.02|noun.food|an edible jelly (sweet or pungent) made with gelatin and used as a dessert or salad base or a coating for foods|
grape.n.01|noun.food|any of various juicy fruit of the genus Vitis with green or purple skins; grow in clusters|
grape.n.02|noun.plant|any of numerous woody vines of genus Vitis bearing clusters of edible berries|
grapeshot.n.01|noun.artifact|a cluster of small projectiles fired together from a cannon to produce a hail of shot|
grass.n.01|noun.plant|narrow-leaved green herbage: grown as lawns; used as pasture for grazing animals; cut and dried as hay|
grass.n.02|noun.person|German writer of novels and poetry and plays (born 1927)|
green.n.01|noun.attribute|green color or pigment; resembling the color of growing grass|
green.n.03|noun.person|United States labor leader who was president of the American Federation of Labor from 1924 to 1952 and who led the struggle with the Congress of Industrial Organizations (1873-1952)|
green.n.04|noun.person|an environmentalist who belongs to the Green Party|
green.n.06|noun.location|an area of closely cropped grass surrounding the hole on a golf course|the ball rolled across the green and into the bunker
